Test_name	Steps_to_solve	Final_eps	Episodes_min_eps
dqn-00000	1000	0.01	459 
dqn-00001	1000	0.01	919 
dqn-00010	1000	0.01	390 
dqn-00011	1000	0.01	781 
dqn-01000	1000	0.01	459 
dqn-01001	1000	0.01	919 
dqn-01010	566	0.01	390 
dqn-01011	1000	0.01	781 
dqn-02000	487	0.01	459 
dqn-02001	598	0.049911691230058335	1000 
dqn-02010	402	0.01	390 
dqn-02011	480	0.04508673247711826	1000 
dqn-03000	534	0.01	459 
dqn-03001	575	0.05601075525639029	1000 
dqn-03010	430	0.01	390 
dqn-03011	526	0.03580226284027005	1000 
dqn-04000	551	0.01	459 
dqn-04001	825	0.015997113097568336	1000 
dqn-04010	560	0.01	390 
dqn-04011	590	0.025976919247952843	1000 
dqn-10000	1000	0.01	459 
dqn-10001	1000	0.01	919 
dqn-10010	1000	0.01	390 
dqn-10011	1000	0.01	781 
dqn-11000	577	0.01	459 
dqn-11001	1000	0.01	919 
dqn-11010	1000	0.01	390 
dqn-11011	609	0.023617078790900088	1000 
dqn-12000	470	0.01	459 
dqn-12001	566	0.058595424120670696	1000 
dqn-12010	465	0.01	390 
dqn-12011	479	0.04531329897197815	1000 
dqn-13000	505	0.01	459 
dqn-13001	538	0.06742445445908266	1000 
dqn-13010	443	0.01	390 
dqn-13011	497	0.04140388893802528	1000 
dqn-14000	552	0.01	459 
dqn-14001	673	0.034271518052411715	1000 
dqn-14010	491	0.01	390 
dqn-14011	589	0.026107456530605873	1000 
dqn-20000	1000	0.01	459 
dqn-20001	1000	0.01	919 
dqn-20010	1000	0.01	390 
dqn-20011	1000	0.01	781 
dqn-21000	475	0.01	459 
dqn-21001	920	0.01	919 
dqn-21010	516	0.01	390 
dqn-21011	792	0.01	781 
dqn-22000	419	0.014830183896331426	1000 
dqn-22001	571	0.05714511431233153	1000 
dqn-22010	384	0.010541070787317386	1000 
dqn-22011	451	0.0521410077455032	1000 
dqn-23000	456	0.010224656730596022	1000 
dqn-23001	548	0.06412808167716157	1000 
dqn-23010	403	0.01	390 
dqn-23011	470	0.04740432367704744	1000 
dqn-24000	444	0.011535233798383842	1000 
dqn-24001	677	0.03359121130473201	1000 
dqn-24010	404	0.01	390 
dqn-24011	542	0.03304302268399145	1000 
dqn-30000	549	0.01	459 
dqn-30001	798	0.01831548549245123	1000 
dqn-30010	519	0.01	390 
dqn-30011	1000	0.01	781 
dqn-31000	1000	0.01	459 
dqn-31001	778	0.020246819920648168	1000 
dqn-31010	743	0.01	390 
dqn-31011	702	0.014817423299102593	1000 
dqn-32000	449	0.010969892565533218	1000 
dqn-32001	570	0.05743227569078546	1000 
dqn-32010	415	0.01	390 
dqn-32011	491	0.04266803576854436	1000 
dqn-33000	557	0.01	459 
dqn-33001	570	0.05743227569078546	1000 
dqn-33010	339	0.016569178357927986	1000 
dqn-33011	487	0.043532171103833395	1000 
dqn-34000	443	0.01165175131149883	1000 
dqn-34001	543	0.06575561514114299	1000 
dqn-34010	388	0.01012571053942464	1000 
dqn-34011	456	0.05085045279032002	1000 

ddqn-00000	1000	0.01	459 
ddqn-00001	1000	0.01	919 
ddqn-00010	1000	0.01	390 
ddqn-00011	1000	0.01	781 
ddqn-01000	1000	0.01	459 
ddqn-01001	750	0.023297566459620722	1000 
ddqn-01010	1000	0.01	390 
ddqn-01011	1000	0.01	781 
ddqn-02000	455	0.010327936091511133	1000 
ddqn-02001	613	0.046296535966244	1000 
ddqn-02010	404	0.01	390 
ddqn-02011	450	0.05240302285980221	1000 
ddqn-03000	501	0.01	459 
ddqn-03001	575	0.05601075525639029	1000 
ddqn-03010	412	0.01	390 
ddqn-03011	458	0.050343219523736576	1000 
ddqn-04000	503	0.01	459 
ddqn-04001	637	0.04104898613852031	1000 
ddqn-04010	513	0.01	390 
ddqn-04011	668	0.017570654636934906	1000 
ddqn-10000	1000	0.01	459 
ddqn-10001	1000	0.01	919 
ddqn-10010	1000	0.01	390 
ddqn-10011	1000	0.01	781 
ddqn-11000	876	0.01	459 
ddqn-11001	989	0.01	919 
ddqn-11010	489	0.01	390 
ddqn-11011	1000	0.01	781 
ddqn-12000	456	0.010224656730596022	1000 
ddqn-12001	650	0.03845939824099909	1000 
ddqn-12010	418	0.01	390 
ddqn-12011	435	0.056495015057005195	1000 
ddqn-13000	441	0.011888329059788623	1000 
ddqn-13001	646	0.03923829805195549	1000 
ddqn-13010	490	0.01	390 
ddqn-13011	545	0.03254985144005504	1000 
ddqn-14000	485	0.01	459 
ddqn-14001	689	0.03163025067641567	1000 
ddqn-14010	550	0.01	390 
ddqn-14011	647	0.01952105328084786	1000 
ddqn-20000	1000	0.01	459 
ddqn-20001	1000	0.01	919 
ddqn-20010	1000	0.01	390 
ddqn-20011	1000	0.01	781 
ddqn-21000	958	0.01	459 
ddqn-21001	974	0.01	919 
ddqn-21010	1000	0.01	390 
ddqn-21011	554	0.031114063768635413	1000 
ddqn-22000	500	0.01	459 
ddqn-22001	596	0.05041457663196215	1000 
ddqn-22010	500	0.01	390 
ddqn-22011	541	0.03320906802411201	1000 
ddqn-23000	433	0.012883660162531854	1000 
ddqn-23001	642	0.040032972548509065	1000 
ddqn-23010	374	0.011655550323921187	1000 
ddqn-23011	502	0.040379091061205755	1000 
ddqn-24000	460	0.01	459 
ddqn-24001	656	0.037319942779450235	1000 
ddqn-24010	376	0.011423604872475157	1000 
ddqn-24011	504	0.03997630962787023	1000 
ddqn-30000	1000	0.01	459 
ddqn-30001	1000	0.01	919 
ddqn-30010	1000	0.01	390 
ddqn-30011	1000	0.01	781 
ddqn-31000	811	0.01	459 
ddqn-31001	862	0.013289101019874787	1000 
ddqn-31010	408	0.01	390 
ddqn-31011	471	0.0471673020586622	1000 
ddqn-32000	540	0.01	459 
ddqn-32001	659	0.036762937968474095	1000 
ddqn-32010	426	0.01	390 
ddqn-32011	613	0.023148267983122	1000 
ddqn-33000	573	0.01	459 
ddqn-33001	517	0.07490878371492794	1000 
ddqn-33010	447	0.01	390 
ddqn-33011	545	0.03254985144005504	1000 
ddqn-34000	486	0.01	459 
ddqn-34001	564	0.05918580250061433	1000 
ddqn-34010	447	0.01	390 
